txn_id,agent_id,user_id,merchant_id,category,day,label,txn_seq_num,amount,amount_zscore,category_seen_before,device_matches_primary,day_txn_count,amount_to_limit_ratio,agent_age_at_txn,token_scope_ok,within_spending_limit
T00000000,A00000,U00000,M0053,travel,1,legitimate_agent,1,813.93,0.0,0,1,1,0.162786,2,True,1
T00000001,A00000,U00000,M0009,groceries,2,legitimate_agent,2,835.27,21.340000000000032,0,1,1,0.167054,4,True,1
T00000002,A00000,U00000,M0044,groceries,2,legitimate_agent,3,1016.02,12.685508908596852,1,1,2,0.203204,6,True,1
T00000003,A00000,U00000,M0169,groceries,2,legitimate_agent,4,641.48,-2.223958069212918,1,1,3,0.128296,8,True,1
T00000004,A00000,U00000,M0137,groceries,3,legitimate_agent,5,671.43,-1.0135335074315588,1,1,1,0.134286,10,True,1
T00000005,A00000,U00000,M0030,travel,3,legitimate_agent,6,752.13,-0.2905131659358044,1,1,2,0.150426,12,True,1
T00000006,A00000,U00000,M0195,groceries,4,legitimate_agent,7,710.81,-0.5741980788167236,1,1,1,0.14216199999999998,14,True,1
T00000007,A00000,U00000,M0170,groceries,4,legitimate_agent,8,822.24,0.35457877061917387,1,1,2,0.164448,16,True,1
T00000008,A00000,U00000,M0000,groceries,5,legitimate_agent,9,691.28,-0.7737875797219679,1,1,1,0.138256,18,True,1
T00000009,A00000,U00000,M0119,groceries,5,legitimate_agent,10,1028.3,2.2241081103368705,1,1,2,0.20565999999999998,20,True,1
T00000010,A00000,U00000,M0075,travel,7,legitimate_agent,11,735.16,-0.4670684791317304,1,1,1,0.147032,22,True,1
T00000011,A00000,U00000,M0185,travel,8,legitimate_agent,12,741.92,-0.3905757711685934,1,1,1,0.148384,24,True,1
T00000012,A00000,U00000,M0171,groceries,9,legitimate_agent,13,441.13,-2.789709533463433,1,1,1,0.088226,26,True,1
T00000013,A00000,U00000,M0197,groceries,9,legitimate_agent,14,685.61,-0.4961517386477418,1,1,2,0.137122,28,True,1
